"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"67987","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Servia","27.32","31","0","4","0.71133333","false","0","Servia","0","0.36426667"
"67988","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Saave","27.32","31","0","4","0.71133333","false","0","Saave","0","0.36426667"
"67989","2.488","0.00658701","0.40192926","0.86609687","place","place","35","6","false","Vienna","28.62962963","35","0","6","0.752","false","0","Vienna","2768","0.22366898"
"67990","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Wirtemberg","27.32","31","0","4","0.71133333","false","0","Wirtemberg","0","0.36426667"
"67991","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Furstemberg","27.32","31","0","4","0.71133333","false","0","Furstemberg","0","0.36426667"
"67992","2.732","0.0","0.36603221","1.0","place","place","60","6","false","Mycone","27.32","60","0","25","0.71133333","false","0","Mycone","0","0.36426667"
"67993","2.184","0.03153043","0.45787546","0.51778094","place","place","55","5","false","Christendom","26.34210526","55","0","11","0.80266667","false","0","Christendom","9148","0.14882545"
"67994","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Syre","27.32","31","0","4","0.71133333","false","0","Syre","0","0.36426667"
"67995","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Tinos","27.32","31","0","4","0.71133333","false","0","Tinos","0","0.36426667"
"67996","2.732","0.0","0.36603221","1.0","place","place","31","6","false","St. George","27.32","31","0","4","0.71133333","false","0","St. George","0","0.36426667"
"67997","2.732","0.0","0.36603221","1.0","place","place","31","6","false","Delos","27.32","31","0","4","0.71133333","false","0","Delos","0","0.36426667"
"67998","2.744","0.0","0.36443149","0.0","place","place","1","6","false","Kaf","90.0","1","0","0","0.70933333","false","0","Kaf","0","0.0"
"67999","3.14","0.0","0.31847134","1.0","place","place","10","6","false","polar","12.66666667","10","0","3","0.64333333","false","2","polar","0","0.42222222"
"68000","2.748","0.00149256","0.36390102","0.53333333","metaplace","place","13","6","false","Mohareb_Island","21.66666667","13","0","3","0.70866667","false","2","Mohareb_Island","698","0.23550725"
"68001","3.14","0.0","0.31847134","1.0","place","place","5","6","false","bitumen_pit","12.66666667","5","0","2","0.64333333","false","0","bitumen_pit","0","0.42222222"
"68002","2.244","0.05879827","0.4456328","0.38970588","metaplace","metaplace","34","5","false","the_other_world","24.82352941","34","0","8","0.79266667","false","0","the_other_world","12314","0.1356477"
"68003","2.344","0.02410224","0.42662116","0.2687747","place","place","31","5","false","England","14.65217391","31","0","6","0.776","false","2","England","7496","0.09833674"
"68004","2.74","0.0","0.3649635","1.0","place","place","5","5","false","Norway","26.25","5","0","1","0.71","false","0","Norway","0","0.32407407"
"68005","2.672","0.0","0.3742515","1.0","place","place","4","4","false","Tartary","25.5","4","0","0","0.72133333","false","0","Tartary","0","0.30722892"
"68006","2.672","0.0","0.3742515","1.0","place","place","4","4","false","Muscovy","25.5","4","0","0","0.72133333","false","0","Muscovy","0","0.30722892"
"68007","2.608","0.01274288","0.38343558","0.4","place","place","17","4","false","India","14.4","17","0","4","0.732","false","0","India","5802","0.15652174"
"68008","3.356","0.0","0.29797378","1.0","place","place","15","5","false","Huquam","10.75","15","0","4","0.60733333","false","0","Huquam","0","0.39814815"
"68009","3.356","0.0","0.29797378","1.0","place","place","12","5","false","Xantung","10.75","12","0","4","0.60733333","false","0","Xantung","0","0.39814815"
