"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"67862","2.156","0.04150591","0.46382189","0.2955665","place","place","56","5","false","Ocean","23.86206897","56","0","14","0.80733333","false","2","Ocean","13378","0.12428161"
"67863","2.2","0.01408968","0.45454545","0.27536232","metaplace","metaplace","95","5","false","Paradise","22.41666667","95","0","17","0.8","false","12","Paradise","5158","0.11675347"
"67864","2.688","0.0","0.37202381","1.0","metaplace","metaplace","5","6","false","Allah's glory throne","42.75","5","0","1","0.71866667","false","0","Allah's glory throne","0","0.4275"
"67865","2.792","4.4E-6","0.35816619","0.0","place","place","3","5","false","Araby","39.0","3","0","1","0.70133333","false","0","Araby","4","0.56716418"
"67866","3.148","0.0","0.31766201","1.0","place","place","2","6","false","Monaco","15.5","2","0","0","0.642","false","0","Monaco","0","0.53448276"
"67867","3.148","0.0","0.31766201","1.0","place","place","2","6","false","Caucasus","15.5","2","0","0","0.642","false","0","Caucasus","0","0.53448276"
"67868","2.732","0.0","0.36603221","1.0","place","place","2","6","false","the Abyss","50.0","2","0","0","0.71133333","false","0","the Abyss","0","0.54347826"
"67869","2.372","0.00179869","0.42158516","0.55555556","metaplace","metaplace","25","5","false","Domdaniel_Cave","32.5","25","0","6","0.77133333","false","2","Domdaniel_Cave","688","0.20700637"
"67870","2.68","0.0","0.37313433","1.0","place","place","6","5","false","Tchama","26.6","6","0","1","0.72","false","0","Tchama","0","0.27708333"
"67871","2.68","0.0","0.37313433","1.0","place","place","6","5","false","Naïd","26.6","6","0","1","0.72","false","0","Naïd","0","0.27708333"
"67872","2.68","0.0","0.37313433","1.0","place","place","6","5","false","Arud","26.6","6","0","1","0.72","false","0","Arud","0","0.27708333"
"67873","2.5","0.03249767","0.4","0.3956044","place","place","27","4","false","Europe","19.0","27","0","7","0.75","false","0","Europe","14258","0.15447154"
"67874","2.748","0.0","0.36390102","1.0","place","place","4","5","false","Panten","26.0","4","0","0","0.70866667","false","0","Panten","0","0.32911392"
"67875","2.748","0.0","0.36390102","1.0","place","place","4","5","false","Delhi","26.0","4","0","0","0.70866667","false","0","Delhi","0","0.32911392"
"67876","2.388","0.00245709","0.41876047","0.56363636","place","place","22","5","false","mountain","32.45454545","22","0","3","0.76866667","false","2","mountain","1138","0.21636364"
"67877","2.356","0.0","0.42444822","1.0","place","place","14","5","false","Chatham","31.0","14","0","3","0.774","false","0","Chatham","0","0.19135802"
"67878","2.356","0.0","0.42444822","1.0","metaplace","metaplace","14","5","false","sepulchre of Elisha","31.0","14","0","3","0.774","false","0","sepulchre of Elisha","0","0.19135802"
"67879","1.94","0.13580635","0.51546392","0.28215488","metaplace","metaplace","283","5","false","Tombs","24.4","283","0","29","0.84333333","false","126","Tombs","37454","0.11192661"
"67880","2.356","0.0","0.42444822","1.0","place","place","14","5","false","Berkeley","31.0","14","0","3","0.774","false","0","Berkeley","0","0.19135802"
"67881","2.22","0.00515328","0.45045045","0.51666667","place","place","44","5","false","Turkey","27.0625","44","0","7","0.79666667","false","6","Turkey","1974","0.14471925"
"67882","2.356","0.0","0.42444822","1.0","place","place","26","5","false","Holland","31.0","26","0","10","0.774","false","0","Holland","0","0.19135802"
"67883","2.356","0.0","0.42444822","1.0","place","place","26","5","false","Flanders","31.0","26","0","10","0.774","false","0","Flanders","0","0.19135802"
"67884","2.356","0.0","0.42444822","1.0","place","place","14","5","false","Bruges","31.0","14","0","3","0.774","false","0","Bruges","0","0.19135802"
"67885","2.888","0.0","0.34626039","1.0","place","place","16","6","false","Levant","17.83333333","16","0","6","0.68533333","false","0","Levant","0","0.27435897"
"67886","2.888","0.0","0.34626039","1.0","place","place","9","6","false","Imam","17.83333333","9","0","2","0.68533333","false","0","Imam","0","0.27435897"
"67887","2.888","0.0","0.34626039","1.0","place","place","9","6","false","Hedsjas","17.83333333","9","0","2","0.68533333","false","0","Hedsjas","0","0.27435897"
"67888","2.888","0.0","0.34626039","1.0","place","place","9","6","false","Barbary","17.83333333","9","0","2","0.68533333","false","0","Barbary","0","0.27435897"
"67889","2.596","0.0","0.38520801","1.0","place","place","32","5","false","Morocco","23.54545455","32","0","11","0.734","false","0","Morocco","0","0.21601334"
"67890","2.596","0.0","0.38520801","1.0","place","place","17","5","false","Rabat","23.54545455","17","0","4","0.734","false","0","Rabat","0","0.21601334"
"67891","2.596","0.0","0.38520801","1.0","place","place","32","5","false","Khorasan","23.54545455","32","0","11","0.734","false","0","Khorasan","0","0.21601334"
"67892","2.596","0.0","0.38520801","1.0","place","place","17","5","false","Cyprus","23.54545455","17","0","4","0.734","false","0","Cyprus","0","0.21601334"
"67893","2.596","0.0","0.38520801","1.0","place","place","17","5","false","Medes","23.54545455","17","0","4","0.734","false","0","Medes","0","0.21601334"
"67894","2.344","0.00358286","0.42662116","0.5497076","place","place","47","5","false","Armenia","26.57894737","47","0","13","0.776","false","0","Armenia","2092","0.17371861"
"67895","2.596","0.0","0.38520801","1.0","place","place","56","5","false","Mosul","23.54545455","56","0","11","0.734","false","0","Mosul","0","0.21601334"
"67896","2.292","0.00370423","0.43630017","0.5620915","place","place","40","5","false","Haleb","27.94444444","40","0","12","0.78466667","false","0","Haleb","1870","0.167332"
"67897","2.152","0.02245338","0.46468401","0.31908832","place","place","139","4","false","Bagdad","24.74074074","139","0","23","0.808","false","22","Bagdad","10014","0.13301474"
"67898","2.564","0.0","0.3900156","1.0","metaplace","metaplace","6","5","false","the planet Venus","32.4","6","0","1","0.73933333","false","0","the planet Venus","0","0.28928571"
"67899","2.564","0.0","0.3900156","1.0","place","place","6","5","false","Bombay","32.4","6","0","1","0.73933333","false","0","Bombay","0","0.28928571"
"67900","2.644","0.0","0.37821483","1.0","place","place","8","6","false","river Aldea","35.83333333","8","0","1","0.726","false","0","river Aldea","0","0.32575758"
"67901","2.644","0.0","0.37821483","1.0","place","place","8","6","false","Lisboa","35.83333333","8","0","1","0.726","false","0","Lisboa","0","0.32575758"
"67902","2.644","0.0","0.37821483","1.0","metaplace","metaplace","8","6","false","a nation of one legged men","35.83333333","8","0","1","0.726","false","0","a nation of one legged men","0","0.32575758"
"67903","2.644","0.0","0.37821483","1.0","metaplace","metaplace","8","6","false","the viewless Element","35.83333333","8","0","1","0.726","false","0","the viewless Element","0","0.32575758"
"67904","2.104","0.04891583","0.47528517","0.25132275","metaplace","metaplace","69","5","false","Hell","22.60714286","69","0","13","0.816","false","2","Hell","13000","0.10974341"
"67905","2.504","0.00323204","0.39936102","0.53333333","place","place","14","4","false","Aleppo","22.2","14","0","4","0.74933333","false","0","Aleppo","1020","0.18655462"
"67906","2.212","0.10894095","0.45207957","0.17538462","place","place","36","3","false","Ispahan","14.38461538","36","0","6","0.798","false","0","Ispahan","28388","0.08412056"
"67907","2.7","0.0","0.37037037","1.0","place","place","16","4","false","Paris","21.16666667","16","0","6","0.71666667","false","0","Paris","0","0.27136752"
"67908","2.7","0.0","0.37037037","1.0","place","place","9","4","false","Alexandria","21.16666667","9","0","3","0.71666667","false","0","Alexandria","0","0.27136752"
"67909","2.7","0.0","0.37037037","1.0","metaplace","metaplace","9","4","false","another world","21.16666667","9","0","3","0.71666667","false","0","another world","0","0.27136752"
"67910","2.244","0.00877248","0.4456328","0.47384615","place","place","87","4","false","Tigris","23.38461538","87","0","14","0.79266667","false","4","Tigris","3842","0.14258912"
"67911","2.704","0.0","0.36982249","1.0","place","place","12","4","false","Seleucia","23.85714286","12","0","2","0.716","false","0","Seleucia","0","0.26507937"
"67912","2.704","0.0","0.36982249","1.0","place","place","12","4","false","Dar-al-Salam the City of Peace","23.85714286","12","0","2","0.716","false","0","Dar-al-Salam the City of Peace","0","0.26507937"
"67913","2.704","0.0","0.36982249","1.0","place","place","12","4","false","Haschemia","23.85714286","12","0","2","0.716","false","0","Haschemia","0","0.26507937"
"67914","2.428","9.0119E-4","0.41186161","0.82222222","place","place","19","5","false","Tauris","34.4","19","0","6","0.762","false","0","Tauris","320","0.24397163"
"67915","2.432","0.0","0.41118421","1.0","place","place","16","5","false","Asia","38.11111111","16","0","4","0.76133333","false","0","Asia","0","0.27029157"
"67916","2.82","0.0","0.35460993","1.0","place","place","6","5","false","Adanaqui","21.5","6","0","2","0.69666667","false","0","Adanaqui","0","0.36440678"
"67917","2.82","0.0","0.35460993","1.0","place","place","6","5","false","Asia Minor","21.5","6","0","2","0.69666667","false","0","Asia Minor","0","0.36440678"
"67918","2.352","0.00196513","0.42517007","0.69281046","place","place","119","5","false","Euphrates","25.11111111","119","0","18","0.77466667","false","0","Euphrates","1028","0.16520468"
"67919","2.492","0.0","0.40128411","1.0","place","place","56","5","false","Judah","24.5","56","0","14","0.75133333","false","0","Judah","0","0.20081967"
"67920","2.492","0.0","0.40128411","1.0","place","place","56","5","false","Media","24.5","56","0","14","0.75133333","false","0","Media","0","0.20081967"
"67921","2.492","0.0","0.40128411","1.0","place","place","29","5","false","Temple of Belus","24.5","29","0","5","0.75133333","false","0","Temple of Belus","0","0.20081967"
"67922","2.352","0.00196513","0.42517007","0.69281046","place","place","94","5","false","Tower_of_Babel","25.11111111","94","0","14","0.77466667","false","6","Tower_of_Babel","1028","0.16520468"
"67923","2.492","0.0","0.40128411","1.0","place","place","29","5","false","St. Paul's steeple","24.5","29","0","5","0.75133333","false","0","St. Paul's steeple","0","0.20081967"
"67924","2.492","0.0","0.40128411","1.0","place","place","29","5","false","London","24.5","29","0","5","0.75133333","false","0","London","0","0.20081967"
"67925","2.492","0.0","0.40128411","1.0","place","place","29","5","false","Naples","24.5","29","0","5","0.75133333","false","0","Naples","0","0.20081967"
"67926","2.492","0.0","0.40128411","1.0","place","place","29","5","false","Assyria","24.5","29","0","5","0.75133333","false","0","Assyria","0","0.20081967"
"67927","2.492","0.0","0.40128411","1.0","place","place","29","5","false","Sodom","24.5","29","0","5","0.75133333","false","0","Sodom","0","0.20081967"
"67928","2.492","0.0","0.40128411","1.0","place","place","29","5","false","Gomorrah","24.5","29","0","5","0.75133333","false","0","Gomorrah","0","0.20081967"
"67929","2.668","0.0","0.37481259","1.0","place","place","7","5","false","Cape of Good Hope","28.8","7","0","1","0.722","false","0","Cape of Good Hope","0","0.29387755"
"67930","2.668","0.0","0.37481259","1.0","metaplace","metaplace","7","5","false","Mouth of Hell","28.8","7","0","1","0.722","false","0","Mouth of Hell","0","0.29387755"
"67931","3.164","0.0","0.31605563","1.0","place","place","3","4","false","France","13.66666667","3","0","0","0.63933333","false","0","France","0","0.39047619"
"67932","3.164","0.0","0.31605563","1.0","place","place","3","4","false","Germany","13.66666667","3","0","0","0.63933333","false","0","Germany","0","0.39047619"
"67933","2.848","0.01038157","0.3511236","0.59090909","place","place","29","4","false","Spain","10.08333333","29","0","9","0.692","false","2","Spain","1698","0.23449612"
"67934","2.236","0.00385791","0.44722719","0.48888889","place","place","16","5","false","Portugal","33.9","16","0","3","0.794","false","0","Portugal","1646","0.17936508"
"67935","4.028","0.0","0.24826216","1.0","place","place","8","5","false","#Hotun_Nor","7.66666667","8","0","2","0.49533333","false","0","#Hotun_Nor","0","0.47916667"
"67936","4.028","0.0","0.24826216","1.0","place","place","16","5","false","Hotun_Nor","7.66666667","16","0","6","0.49533333","false","2","Hotun_Nor","0","0.47916667"
"67937","4.028","0.0","0.24826216","1.0","place","place","8","5","false","Tibet","7.66666667","8","0","2","0.49533333","false","0","Tibet","0","0.47916667"
"67938","4.028","0.0","0.24826216","1.0","place","place","16","5","false","Whang-ho_River","7.66666667","16","0","6","0.49533333","false","2","Whang-ho_River","0","0.47916667"
"67939","4.024","0.008","0.24850895","0.71428571","place","place","9","5","false","Tartarian_Mts","6.57142857","9","0","2","0.496","false","0","Tartarian_Mts","2826","0.42857143"
"67940","3.056","0.0564237","0.32722513","0.3047619","place","place","20","4","false","China","7.66666667","20","0","4","0.65733333","false","0","China","20192","0.17829457"
"67941","4.028","0.0","0.24826216","1.0","place","place","8","5","false","Bohai_Sea","7.66666667","8","0","2","0.49533333","false","0","Bohai_Sea","0","0.47916667"
"67942","5.02","0.0","0.19920319","0.0","place","place","1","6","false","Algiers_Beni_Abbess_Mts","7.0","1","0","0","0.33","false","0","Algiers_Beni_Abbess_Mts","0","0.0"
"67943","2.932","0.0","0.34106412","1.0","place","place","6","6","false","Orpheus_grave","28.5","6","0","2","0.678","false","2","Orpheus_grave","0","0.51818182"
"67944","2.932","0.0","0.34106412","1.0","place","place","3","6","false","Thrace","28.5","3","0","1","0.678","false","0","Thrace","0","0.51818182"
"67945","3.152","0.0","0.31725888","1.0","place","place","5","4","false","Macao","11.2","5","0","0","0.64133333","false","0","Macao","0","0.32"
"67946","3.152","0.0","0.31725888","1.0","place","place","5","4","false","Canton","11.2","5","0","0","0.64133333","false","0","Canton","0","0.32"
"67947","3.152","0.0","0.31725888","1.0","place","place","5","4","false","Russia","11.2","5","0","0","0.64133333","false","0","Russia","0","0.32"
